vbd_rank,tier,player_name,position,team,shrunk_ppg,vbd
519,13,Terrell Jennings,RB,NE,3.449192696505504,-133.7379344886025
520,13,K.J. Osborn,WR,NE,3.530338328033296,-134.33763116406155
521,13,Ray-Ray McCloud,WR,ATL,3.5277310532910304,-134.38195483468007
522,13,Dwayne Washington,RB,DEN,3.4080034538233765,-134.43815161419866
523,13,Casey Washington,WR,ATL,3.5201517834563294,-134.51080242186998
524,13,Cameron Latu,TE,PHI,1.382916139861636,-134.53051115223727
525,13,Cedrick Wilson Jr.,WR,MIA,3.515529752417505,-134.58937694953002
526,13,Treylon Burks,WR,WAS,3.514951423271391,-134.59920854501394
527,13,Jeff Wilson,RB,MIA,3.389911946838279,-134.7457072329453
528,13,Deuce Vaughn,RB,DAL,3.367531240259435,-135.12617924478565
529,13,Tyler Badie,RB,DEN,3.360818743376416,-135.24029169179698
530,13,Anthony Richardson,QB,IND,8.710294767588756,-135.58469303144395
531,13,Cody White,WR,SEA,3.449967074058267,-135.70394248163706
532,13,Isaiah Spiller,RB,LAC,3.3114687389606927,-136.07924176686427
533,13,Ramel Keyton,WR,LV,3.4263303538813643,-136.10576672464438
534,13,Quinn Ewers,QB,MIA,8.666459783635961,-136.32988775864146
535,13,Colson Yankoff,TE,WAS,1.2725829118893088,-136.40617602776683
536,13,Chris Blair,WR,ATL,3.4061914649924754,-136.44812783575554
537,13,Konata Mumpfield,WR,LA,3.3960608240582677,-136.62034873163705
538,13,Erik Ezukanma,WR,MIA,3.3841081316591417,-136.82354450242218
539,13,Zach Evans,RB,LA,3.257203108441039,-137.00175748569842
540,13,Keith Kirkwood,WR,NO,3.372074860379406,-137.02811011417768
541,13,Cody Thompson,WR,TB,3.3707747983258085,-137.05021116908887
542,13,Richie James,WR,KC,3.369131545662152,-137.07814646437103
543,13,Brayden Willis,TE,SF,1.229258790988121,-137.14268608308703
544,13,Beaux Collins,WR,NYG,3.363697318493228,-137.1705283262427
545,13,Dylan Drummond,WR,ATL,3.361414432077689,-137.20933739530687
546,13,Chris Brooks,RB,GB,3.191123931124644,-138.1251035000771
